Date,Type,Value
01/10/2022,Old Discount ,50.17126387
01/11/2022,Old Discount ,52.46643689
01/12/2022,Old Discount ,54.94002342
01/01/2023,Old Discount ,54.19225069
01/02/2023,Old Discount ,49.31543515
01/03/2023,Old Discount ,56.85852964
01/04/2023,Old Discount ,44.8681709
01/05/2023,Old Discount ,48.61845974
01/06/2023,Old Discount ,50.61313711
01/07/2023,Old Discount ,48.8860623
01/08/2023,Old Discount ,49.70916957
01/09/2023,Old Discount ,49.10589349
01/10/2023,Old Discount ,46.78146105
01/11/2023,Old Discount ,47.27741022
01/12/2023,Old Discount ,46.70391966
01/01/2024,Old Discount ,46.8172292
01/10/2022,Interim Discount,49.0789765
01/11/2022,Interim Discount,51.1715566
01/12/2022,Interim Discount,53.43511577
01/01/2023,Interim Discount,51.73269033
01/02/2023,Interim Discount,47.20257824
01/03/2023,Interim Discount,54.19449601
01/04/2023,Interim Discount,44.79875314
01/05/2023,Interim Discount,48.1827385
01/06/2023,Interim Discount,50.26229673
01/07/2023,Interim Discount,52.31909447
01/08/2023,Interim Discount,53.17323651
01/09/2023,Interim Discount,52.48628261
01/10/2023,Interim Discount,48.44896769
01/11/2023,Interim Discount,48.65539724
01/12/2023,Interim Discount,48.37571099
01/01/2024,Interim Discount,47.15286676
